,vorname,anzahl,jahr
1001,Almina,2,2019
1002,Almir,2,2012
1003,Almir,3,2013
1004,Almir,5,2015
1005,Almir,2,2017
1006,Almir,2,2021
1007,Almira,7,2014
1008,Almira,2,2019
1009,Almira,2,2020
1010,Almira,4,2021
1011,Almira,3,2022
1012,Alois,4,2013
1013,Alois,2,2014
1014,Alois,4,2015
1015,Alois,2,2016
1016,Alois,2,2017
1017,Alois,7,2019
1018,Alois,4,2021
1019,Alon,2,2014
1020,Alon,2,2016
1021,Alonso,2,2014
1022,Alp,2,2013
1023,Alp,2,2014
1024,Alp,5,2015
1025,Alp,14,2016
1026,Alp,4,2017
1027,Alp,7,2018
1028,Alp,10,2019
1029,Alp,6,2020
1030,Alp,11,2021
1031,Alp,6,2022
1032,Alparslan,4,2016
1033,Alparslan,4,2017
1034,Alparslan,5,2018
1035,Alparslan,9,2019
1036,Alparslan,9,2020
1037,Alparslan,8,2021
1038,Alparslan,24,2022
1039,Alpaslan,2,2016
1040,Alpaslan,2,2018
1041,Alpaslan,5,2021
1042,Alpay,2,2018
1043,Alpay,3,2021
1044,Alpay,4,2022
1045,Alper,4,2012
1046,Alper,10,2013
1047,Alper,9,2014
1048,Alper,4,2015
1049,Alper,2,2016
1050,Alper,3,2017
1051,Alper,2,2018
1052,Alper,2,2020
1053,Alper,4,2021
1054,Alper,3,2022
1055,Alperen,2,2012
1056,Alperen,5,2013
1057,Alperen,2,2014
1058,Alperen,3,2016
1059,Alperen,6,2017
1060,Alperen,3,2018
1061,Alperen,6,2020
1062,Alperen,2,2021
1063,Alperen,4,2022
1064,Alpha,2,2021
1065,Altan,5,2016
1066,Altay,2,2018
1067,Altay,2,2019
1068,Altin,2,2018
1069,Alva,29,2012
1070,Alva,28,2013
1071,Alva,37,2014
1072,Alva,22,2015
1073,Alva,48,2016
1074,Alva,44,2017
1075,Alva,56,2018
1076,Alva,45,2019
1077,Alva,50,2020
1078,Alva,68,2021
1079,Alva,62,2022
1080,Alvar,2,2012
1081,Alvar,2,2014
1082,Alvar,3,2015
1083,Alvar,7,2016
1084,Alvar,3,2017
1085,Alvar,4,2018
1086,Alvar,7,2019
1087,Alvar,6,2020
1088,Alvar,10,2021
1089,Alvar,16,2022
1090,Alvaro,2,2012
1091,Alvin,4,2012
1092,Alvin,3,2013
1093,Alvin,6,2014
1094,Alvin,2,2015
1095,Alvin,2,2016
1096,Alvin,6,2018
1097,Alvin,8,2019
1098,Alvin,2,2020
1099,Alvin,2,2021
1100,Alvin,3,2022
1101,Alwin,4,2012
1102,Alwin,4,2013
1103,Alwin,6,2014
1104,Alwin,5,2015
1105,Alwin,7,2016
1106,Alwin,6,2017
1107,Alwin,2,2018
1108,Alwin,12,2019
1109,Alwin,4,2020
1110,Alwin,2,2021
1111,Alwin,4,2022
1112,Alwina,2,2017
1113,Alya,2,2012
1114,Alya,5,2013
1115,Alya,6,2014
1116,Alya,5,2017
1117,Alya,8,2018
1118,Alya,15,2019
1119,Alya,12,2020
1120,Alya,22,2021
1121,Alya,16,2022
1122,Alysha,2,2016
1123,Alyssa,4,2012
1124,Alyssa,3,2014
1125,Alyssa,3,2015
1126,Alyssa,6,2016
1127,Alyssa,2,2019
1128,Alyssa,2,2020
1129,Amadea,2,2015
1130,Amadea,5,2016
1131,Amadeo,3,2015
1132,Amadeo,2,2016
1133,Amadeus,2,2012
1134,Amadeus,16,2013
1135,Amadeus,7,2014
1136,Amadeus,11,2015
1137,Amadeus,4,2016
1138,Amadeus,2,2017
1139,Amadeus,6,2018
1140,Amadeus,4,2019
